DEPARTAMENTO DE COMUNICAÇÃO SOCIAL/CCSO;875;SÃO LUÍS
DEPARTAMENTO DE DESENHO E TECNOLOGIA/CCET;1043;SÃO LUÍS
DEPARTAMENTO DE DIREITO/CCSO;876;SÃO LUÍS
DEPARTAMENTO DE ECONOMIA/CCSO;872;SÃO LUÍS
DEPARTAMENTO DE EDUCAÇÃO FÍSICA/CCBS;923;SÃO LUÍS
DEPARTAMENTO DE EDUCAÇÃO I/CCSO;1059;SÃO LUÍS
DEPARTAMENTO DE EDUCAÇÃO II/CCSO;873;SÃO LUÍS
DEPARTAMENTO DE ENFERMAGEM/CCBS;924;SÃO LUÍS
DEPARTAMENTO DE FARMÁCIA/CCBS;926;SÃO LUÍS
DEPARTAMENTO DE FILOSOFIA/CCH;846;SÃO LUÍS
DEPARTAMENTO DE FÍSICA/CCET;980;SÃO LUÍS
DEPARTAMENTO DE GEOCIENCIAS/CCH;1047;SÃO LUÍS
DEPARTAMENTO DE HISTÓRIA/CCH;850;SÃO LUÍS
DEPARTAMENTO DE INFORMÁTICA/CCET;998;SÃO LUÍS
DEPARTAMENTO DE LETRAS/CCH;849;SÃO LUÍS
DEPARTAMENTO DE MATEMÁTICA/CCET;972;SÃO LUÍS
DEPARTAMENTO DE MEDICINA I/CCBS;1055;SÃO LUÍS
DEPARTAMENTO DE MEDICINA II/CCBS;922;SÃO LUÍS
DEPARTAMENTO DE MEDICINA III/CCBS;925;SÃO LUÍS
DEPARTAMENTO DE MORFOLOGIA/CCBS;918;SÃO LUÍS
DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA/CCBS;974;SÃO LUÍS
DEPARTAMENTO DE ODONTOLOGIA I/CCBS;947;SÃO LUÍS
DEPARTAMENTO DE ODONTOLOGIA II/CCBS;946;SÃO LUÍS
DEPARTAMENTO DE PATOLOGIA/CCBS;951;SÃO LUÍS
DEPARTAMENTO DE PSICOLOGIA/CCH;848;SÃO LUÍS
DEPARTAMENTO DE QUÍMICA/CCET;973;SÃO LUÍS
DEPARTAMENTO DE SAÚDE PÚBLICA/CCBS;1045;SÃO LUÍS
DEPARTAMENTO DE SERVIÇO SOCIAL/CCSO;1050;SÃO LUÍS
DEPARTAMENTO DE SOCIOLOGIA E ANTROPOLOGIA/CCH;1053;SÃO LUÍS
DEPARTAMENTO DE TECNOLOGIA QUÍMICA/CCET;1061;SÃO LUÍS
DEPARTAMENTO DE TURISMO E HOTELARIA/CCSO;900;SÃO LUÍS
COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET;1395;SÃO LUÍS
COORDENACAO DO CURSO DE ESTUDOS AFRICANOS E AFRO-BRASILEIROS/DCCH;1373;SÃO LUÍS
COORDENACAO DO CURSO DE FISICA;1185;SÃO LUÍS
COORDENACAO DO CURSO DE GEOGRAFIA;1184;SÃO LUÍS
COORDENACAO DO CURSO DE HISTORIA;1183;SÃO LUÍS
COORDENACAO DO CURSO DE LETRAS;1182;SÃO LUÍS
COORDENACAO DO CURSO DE LETRAS/LIBRAS/DCCH;1371;SÃO LUÍS
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS IMPERATRIZ/CCSST;1179;IMPERATRIZ
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS BACABAL/CAMPUS III;1168;BACABAL
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS IMPERATRIZ/CCSST;1178;IMPERATRIZ
COORDENACAO DO CURSO DE MATEMATICA;1181;SÃO LUÍS
COORDENACAO DO CURSO DE PEDAGOGIA;1180;SÃO LUÍS
COORDENACAO DO CURSO DE ZOOTECNIA/CCAA;1004;CHAPADINHA
COORDENACAO DO CURSO TÉCNICO DE ADMINISTRAÇÃO;1213;SÃO LUÍS
COORDENAÇÃO DO CURSO ARTES VISUAIS (EAD)/NEAD;820;SÃO LUÍS
COORDENAÇÃO DO CURSO CIÊNCIAS CONTÁBEIS/CCSST;1011;IMPERATRIZ
COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO (EAD)/NEAD;1234;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO PÚBLICA (EAD)/NEAD;1239;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ADMINISTRAÇÃO/CCSO;897;SÃO LUÍS
COORDENAÇÃO DO CURSO DE AGRONOMIA/CCAA;1002;CHAPADINHA
COORDENAÇÃO DO CURSO DE ARQUEOLOGIA/CCH;1368;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ARTES VISUAIS/CCH;1121;SÃO LUÍS
COORDENAÇÃO DO CURSO DE BIBLIOTECONOMIA/CCSO;890;SÃO LUÍS
COORDENAÇÃO DO CURSO DE BIOLOGIA/CCAA;1003;CHAPADINHA
COORDENAÇÃO DO CURSO DE CIÊNCIA E TECNOLOGIA;1241;BALSAS
COORDENAÇÃO DO CURSO DE CIÊNCIA E TECNOLOGIA;1367;IMPERATRIZ
COORDENAÇÃO DO CURSO DE CIÊNCIA E TECNOLOGIA/CCET;1227;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS AQUÁTICAS/CCBS;956;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS BIOLÓGICAS (EAD)/NEAD;1236;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS BIOLÓGICAS;1384;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS BIOLÓGICAS/CCBS;940;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS CONTÁBEIS/CCSO;892;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS DA COMPUTAÇÃO/CCET;982;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS ECONÔMICAS/CCSO;891;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS EXATAS;1385;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS IMOBILIÁRIA/CCSO;886;SÃO LUÍS
COORDENAÇÃO DO CURSO DE CIÊNCIAS SOCIAIS/CCH;844;SÃO LUÍS
COORDENAÇÃO DO CURSO DE COMPUTAÇÃO (EAD)/NEAD;1403;SÃO LUÍS
COORDENAÇÃO DO CURSO DE COMUNICAÇÃO SOCIAL/CCSO;885;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DESENHO INDUSTRIAL/CCET;987;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DESIGN/CCET;1120;SÃO LUÍS
COORDENAÇÃO DO CURSO DE DIREITO/CCSO;883;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO ARTÍSTICA/CCH;845;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA;1386;SÃO LUÍS
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA PINHEIRO/CCHNST;1365;PINHEIRO
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA/CCBS;950;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENFERMAGEM BACABAL/CAMPUS III;1344;BACABAL
COORDENAÇÃO DO CURSO DE ENFERMAGEM PINHEIRO/CCHNST;1347;PINHEIRO
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCBS;939;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCSST;1012;IMPERATRIZ
COORDENAÇÃO DO CURSO DE ENGENHARIA AGRÍCOLA CHAPADINHA/CCAA;1349;CHAPADINHA
COORDENAÇÃO DO CURSO DE ENGENHARIA DA COMPUTAÇÃO CODÓ/CAMPUS VII;1350;CODÓ
COORDENAÇÃO DO CURSO DE ENGENHARIA DE PESCA PINHEIRO/CCHNST;1348;PINHEIRO
COORDENAÇÃO DO CURSO DE ENGENHARIA ELÉTRICA/CCET;984;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ENGENHARIA GEOLOGICA GRAJAÚ/CAMPUS VI;1346;GRAJAÚ
COORDENAÇÃO DO CURSO DE ENGENHARIA QUÍMICA CODÓ/CAMPUS VII;1351;CODÓ
COORDENAÇÃO DO CURSO DE ENGENHARIA QUÍMICA/CCET;996;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO EM SAÚDE (EAD)/NEAD;1406;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO PÚBLICA (EAD)/NEAD;1407;SÃO LUÍS
COORDENAÇÃO DO CURSO DE ESPECIALIZAÇÃO EM GESTÃO PÚBLICA MUNICIPAL (EAD)/NEAD;1408;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FARMÁCIA/CCBS;941;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA;1370;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA;1376;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FILOSOFIA/CCH;838;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FÍSICA (EAD)/NEAD;1404;SÃO LUÍS
COORDENAÇÃO DO CURSO DE FÍSICA/CCET;986;SÃO LUÍS
COORDENAÇÃO DO CURSO DE GEOGRAFIA;1387;SÃO LUÍS
COORDENAÇÃO DO CURSO DE GEOGRAFIA/CCH;840;SÃO LUÍS
COORDENAÇÃO DO CURSO DE HISTÓRIA;1379;GUIMARÃES
COORDENAÇÃO DO CURSO DE HISTÓRIA/CCH;843;SÃO LUÍS
COORDENAÇÃO DO CURSO DE HOTELARIA/CCSO;887;SÃO LUÍS
COORDENAÇÃO DO CURSO DE JORNALISMO/CCSST;1013;IMPERATRIZ
COORDENAÇÃO DO CURSO DE LETRAS;1405;SÃO LUÍS
COORDENAÇÃO DO CURSO DE LETRAS;1378;GUIMARÃES
